dataset,Ts,E2,phi,theta_tot_prior
BaSoil1998,Ts_67_4,E2_80_1,0.288,0.28
BaSoil1998,Ts_95_17,E2_90_16,0.334,0.35
BaSoil1998,Ts_95_33,E2_90_32,0.317,0.32
BaSoil1998,Ts_80_38,E2_85_39,0.272,0.3
BaSoil1998,Ts_95_66,E2_90_66,0.248,0.3
BaSoil1998,Ts_95_91,E2_90_90,0.224,0.24
BaSoil1998,Ts_95_99,E2_95_99,0.191,0.26
BaSoil1998,Ts_95_108,E2_95_113,0.211,0.18
BaSoil1998,Ts_95_117_v,E2_95_120_v,0.268,0.21
BaSoil1998,Ts_124_8,E2_114_6,0.233,0.32
BaSoil1998,Ts_124_25,E2_115_22,0.294,0.32
BaSoil1998,Ts_115_60,E2_110_59,0.355,0.36
BaSoil1998,Ts_145_6,E2_140_6,0.312,0.32
BaSoil1998,Ts_145_24,E2_140_23,0.275,0.3
BaSoil1998,Ts_145_40,E2_140_39,0.293,0.3
BaSoil1998,Ts_145_62,E2_140_62,0.33,0.33
BaSoil1998,Ts_151_76,E2_146_76,0.379,0.39
BaSoil1998,Ts_145_99,E2_140_98,0.334,0.33
BaSoil1998,Ts_135_112,E2_135_112,0.246,0.17
BaSoil1998,Ts_135_125_v,E2_135_127_v,0.26,0.25
BaSoil1998,Ts_169_9,E2_174_8,0.217,0.31
BaSoil1998,Ts_177_19,E2_172_20,0.219,0.31
BaSoil1998,Ts_185_52,E2_180_54,0.308,0.33
BaSoil1998,Ts_204_5,E2_204_5,0.378,0.4
BaSoil1998,Ts_205_13,E2_200_13,0.071,0.05
BaSoil1998,Ts_205_31,E2_200_31,0.225,0.28
BaSoil1998,Ts_210_50,E2_205_51,0.316,0.36
BaSoil1998,Ts_205_61,E2_200_61,0.373,0.38
BaSoil1998,Ts_205_90,E2_200_90,0.242,0.25
BaSoil1998,Ts_200_114,E2_200_114,0.258,0.22
BaSoil1998,Ts_200_118_v,E2_200_121_v,0.254,0.2
BaSoil2009,Ts_1,E2_h_1,0.5,0.012
BaSoil2009,Ts_11,E2_h_11,0.283,0.24
BaSoil2009,Ts_21,E2_h_21,0.434,0.22
BaSoil2009,Ts_37,E2_h_37,0.409,0.24
BaSoil2009,Ts_55,E2_h_55,0.42,0.26
BaSoil2009,Ts_71,E2_h_71,0.387,0.33
BaSoil2009,Ts_89,E2_h_89,0.439,0.36
TVCSoil2016,Ts_2,E2_h_2,0.85,0.4
TVCSoil2016,Ts_5,E2_h_5,0.455,0.25
TVCSoil2016,Ts_10,E2_h_10,0.4346,0.33
TVCSoil2016,Ts_20,E2_h_20,0.363,0.42
SaSoil2002,Ts_center_5,E2_center_8,0.98,0.9337
SaSoil2002,Ts_center_10,E2_center_13,0.99,0.9358
SaSoil2002,Ts_center_20,E2_center_23,0.78,0.707
SaSoil2002,Ts_center_30,E2_center_33,0.99,0.7665
SaSoil2002,Ts_center_40,E2_center_43,0.99,0.7751
SaSoil2002,Ts_slope_7,E2_slope_5,0.93,0.1975
SaSoil2002,Ts_slope_16,E2_slope_14,0.93,0.3694
SaSoil2002,Ts_slope_22,E2_slope_23,0.93,0.6835
SaSoil2002,Ts_slope_32,E2_slope_33,1,0.5776
SaSoil2002,Ts_slope_42,E2_slope_43,1,0.77
SaSoil2002,Ts_rim_6,E2_rim_5,0.67,0.2697
SaSoil2002,Ts_rim_11,E2_rim_12,0.67,0.4855
SaSoil2002,Ts_rim_16,E2_rim_15,0.67,0.5736
SaSoil2002,Ts_rim_21,E2_rim_22,0.67,0.5793
SaSoil2002,Ts_rim_27,E2_rim_26,0.73,0.6578
SaSoil2002,Ts_rim_33,E2_rim_34,0.72,0.5337
SaSoil2002,Ts_rim_38,E2_rim_37,0.63,0.5839
SaSoil2002,Ts_rim_51,E2_rim_50,0.6,0.4447
SaSoil2002,Ts_rim_61,E2_rim_60,0.55,0.5168
SaSoil2002,Ts_rim_71,E2_rim_70,0.64,0.77
SaSoil2012,Ts_cen_15,E2_cen_14,0.85,0.9337
SaSoil2012,Ts_cen_45,E2_cen_44,0.62,0.9358
SaSoil2012,Ts_cen_72,E2_cen_72,0.62,0.707
SaSoil2012,Ts_cen_100,E2_cen_95,0.99,0.7665
SaSoil2012,Ts_rim_7,E2_rim_9,0.4,0.7751
SaSoil2012,Ts_rim_22,E2_rim_24,0.52,0.1975
SaSoil2012,Ts_rim_38,E2_rim_38,0.52,0.3694
SaSoil2012,Ts_rim_52,E2_rim_52,0.52,0.6835
SaSoil2012,Ts_rim_104,E2_rim_100,0.52,0.5776
